"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6653",107.031409377145,-3.84629211776621,0.552087859808197,-6.96681162143733,3.24204309315294e-12,2.93712894024191e-08
"1439",67.323878690901,-6.84342418075121,0.97212376364118,-7.0396635044889,1.92704635485518e-12,2.93712894024191e-08
"366",87.4372825916034,-4.35662784231865,0.637958419777921,-6.82901535155729,8.5499426039367e-12,5.16388033469097e-08
"3119",197.749431810864,4.56235040105785,0.692715315133017,6.58618382095648,4.51275061798689e-11,2.04416321118261e-07
"25823",75.4694428946908,3.87028403718392,0.593262598166591,6.52372836100672,6.85808658623395e-11,2.48523341711946e-07
"1441",433.885660870413,-3.64822602772944,0.569198931343039,-6.4094042114966,1.46089399334478e-10,4.41165637756901e-07
"6402",72.5750042095924,-4.87551983113529,0.773389163174085,-6.3040963893592,2.89880059512746e-10,7.50333828330207e-07
"112268421",74.0601363046886,5.52536037709022,0.906071411218127,6.09815110451603,1.0730229343739e-09,2.43026281849008e-06
"5788",94.7882903946562,-4.69715541924784,0.810420005010564,-5.79595196343483,6.79347083991207e-09,1.36767664609296e-05
"106480429",35.8687036553352,5.66110506959501,1.01203939157927,5.59375960728262,2.22204563506345e-08,4.02612448617147e-05
"8972",28.157014288985,-4.70512483762058,0.852265007603011,-5.52072981484211,3.37594537854481e-08,5.56079584671395e-05
"107986463",318.220457589322,2.59747816629326,0.486420628544262,5.3399835736138,9.29550035463897e-08,0.000132784114483012
"3687",166.882760799687,-2.43336003914561,0.456067803350943,-5.33552252815607,9.52697990109364e-08,0.000132784114483012
"3043",34735.4143956637,-8.39333012836008,1.62594949814783,-5.16210997815196,2.44181753297949e-07,0.000294955279200369
"219995",57.376350940273,3.34876959528552,0.648714760771899,5.16216031727235,2.44116080678817e-07,0.000294955279200369
"54210",96.1806434658066,-3.8066496568409,0.742001438269906,-5.13024565790156,2.89364297702618e-07,0.000323117837359575
"8794",63.7039073955881,-3.36572412290788,0.657179280794745,-5.12147023082898,3.03162604730547e-07,0.000323117837359575
"5175",55.7689449768457,-4.10392575427357,0.805724160434421,-5.09346244757121,3.51582714508833e-07,0.000353907066899197
"10536",88.3863035204849,1.97273501687822,0.390876431691302,5.04695309548928,4.48911501209428e-07,0.000411269914434713
"5880",70.2996401041473,-3.95577028826513,0.784126262586137,-5.04481290451687,4.539653561838e-07,0.000411269914434713
"8875",53.5167700041334,-3.80207625775957,0.755061185796625,-5.0354545158459,4.76716319090426e-07,0.00041131538026664
"2212",108.098193057123,-4.27999819475969,0.863548244493734,-4.95629308732935,7.18508067490262e-07,0.000532392271832349
"2215",171.141256218713,-4.24700971663763,0.857636677120156,-4.95199171157022,7.34577338473908e-07,0.000532392271832349
"3777",5908.70295766277,1.37875372929296,0.277648698958865,4.9658209617515,6.84110468397333e-07,0.000532392271832349
"2358",24.200537652777,-7.11560291276032,1.43250953519307,-4.9672290047279,6.79163689009809e-07,0.000532392271832349
"6280",607.378213279409,-3.93096023264221,0.796783777086829,-4.93353447407582,8.07547808768715e-07,0.000541924398040013
"4688",88.5758739464259,-4.17198447926334,0.845045892977513,-4.93699160475579,7.93368848928496e-07,0.000541924398040013
"5999",519.833067552144,-1.47724078735187,0.302859376684043,-4.87764586827701,1.07359449758283e-06,0.000661144828683552
"344595",193.146763421926,-1.82308086376743,0.374056728473668,-4.87380850280779,1.09467105582574e-06,0.000661144828683552
